state_abbr,n_counties,pm25_wtd_mean,year
AK,5,10.274999999999999,2015
AL,18,9.021428571428572,2015
AR,11,8.822222222222223,2015
AZ,13,7.7,2015
CA,51,9.832558139534884,2015
CO,26,6.377777777777777,2015
CT,8,8.1,2015
DE,3,8.566666666666666,2015
FL,38,6.541176470588235,2015
GA,30,9.025,2015
HI,4,6.7250000000000005,2015
IA,19,8.415384615384616,2015
ID,10,9.514285714285714,2015
IL,26,9.093333333333334,2015
IN,44,9.9,2015
KS,10,7.75,2015
KY,28,8.769230769230768,2015
LA,21,8.37,2015
MA,11,6.8,2015
MD,16,9.2,2015
ME,11,7.32,2015
MI,28,8.735294117647058,2015
MN,18,6.54,2015
MO,24,9.585714285714285,2015
MS,11,8.74,2015
MT,14,9.418181818181818,2015
NC,41,7.705,2015
ND,10,5.911111111111111,2015
NE,9,7.5,2015
NH,7,6.76,2015
NJ,16,9.023076923076923,2015
NM,9,6.633333333333334,2015
NV,8,7.6000000000000005,2015
NY,28,7.9714285714285715,2015
OH,44,10.32,2015
OK,19,7.78,2015
OR,15,8.944444444444445,2015
PA,39,10.704166666666666,2015
PR,9,6.166666666666667,2015
RI,3,7.4,2015
SC,18,8.2,2015
SD,10,6.588888888888889,2015
TN,23,8.366666666666667,2015
TX,35,9.32,2015
UT,11,6.75,2015
VA,37,8.117647058823529,2015
VT,3,7.2,2015
WA,11,7.76,2015
WI,28,7.781818181818181,2015
WV,14,9.72,2015
WY,17,4.972727272727273,2015
NA,1,10,2015
